"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,mapping,,text,Randomisierungs-ID,,[MW][PLG][0-9][0-9],,,,,,,,,,,
fallnummer,mapping,,text,Fallnummer,,,integer,2025000000,2027000000,y,,y,,,,," @FORCE-MINMAX"
mapping_comment,mapping,,notes,Kommentar,,,,,,,,,,,,,
inclusion_time,mapping,"Studiendaten",text,"Zeitpunkt des Einschlusses",,,datetime_ymd,,,,,y,,,,," @DEFAULT=@NOW"
sex,preop,"Patient*innendaten: [mapping][fallnummer]",radio,Geschlecht,"1, weiblich | 2, männlich | 3, divers",,,,,y,,y,,,,,
age,preop,,text,"Alter [Jahre]",,"zum Zeitpunkt des Studieneinschlusses",integer,18,99,,,y,,,,,
height,preop,,text,"Körpergröße [cm]",,,integer,140,210,y,,y,,,,,
weight,preop,,text,"Gewicht [kg]",,,integer,40,200,y,,y,,,,,
bmi,preop,,calc,BMI,"round([weight] / ([height]/100 * [height]/100), 1)",,,,,,,,,,,," @READONLY"
asa,preop,,dropdown,ASA-Klassifikation,"1, I | 2, II | 3, III | 4, IV | 5, V",,,,,,,y,,,,,
preop_ass_given,preop,Medikamentenanamnese,yesno,"ASS in der Vormedikation",,,,,,,,y,,,,,
preop_antiaggregant_given,preop,,yesno,"Thrombozytenaggregationshemmer in der Vormedikation (Clopidogrel, Prasugrel, Ticagrelor, ...)",,,,,,,,y,,,,,
preop_antiaggregant_name,preop,,dropdown,"Name des Thrombozytenaggregationshemmers","1, Clopidogrel | 2, Prasugrel | 3,  Ticlopidin | 4, Ticagrelor | 5, Cangrelor | 99, Sonstiges",,,,,,"[preop_antiaggregant_given] = '1'",,,,,,
preop_anticoagulant_given,preop,,yesno,"Falithrom/DOAK in der Vormedikation",,,,,,,,y,,,,,
